Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0303,,,,,0.5934,,,,,3.1258,,,,,6.9751,,,,,10.2311,,,,,13.236,,,,,16.2784,C1,
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0265,,,,,0.6482,,,,,3.3952,,,,,7.4571,,,,,10.8898,,,,,14.2397,,,,,17.5202,C1,
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0265,,,,,0.6271,,,,,3.3491,,,,,7.5603,,,,,11.0108,,,,,13.9103,,,,,16.4924,C1,
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-95th,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0267,,,,,0.6633,,,,,3.4969,,,,,7.6051,,,,,10.7094,,,,,13.2624,,,,,15.475,C1,
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0265,,,,,0.6557,,,,,3.4815,,,,,7.6809,,,,,10.9682,,,,,13.7512,,,,,16.2269,C1,
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0289,,,,,0.7309,,,,,4.3151,,,,,9.7727,,,,,13.9997,,,,,17.7335,,,,,21.1831,C1,SP
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0289,,,,,0.8664,,,,,4.7605,,,,,10.6206,,,,,15.9453,,,,,21.9242,,,,,28.4251,C1,
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0289,,,,,0.859,,,,,4.3132,,,,,9.3416,,,,,13.8385,,,,,18.8771,,,,,24.679,C1,
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.021,,,,,0.7344,,,,,4.5788,,,,,11.7763,,,,,19.9733,,,,,28.7663,,,,,37.9376,C1,Ren
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.021,,,,,0.7402,,,,,3.8313,,,,,8.097,,,,,11.2847,,,,,14.4497,,,,,17.5979,C1,
